"SEASON","TEAM_NAME","WINS","LOSSES","WIN_PCT","WINS_5Y","LOSSES_5Y","WIN_PCT_5Y"
"2014","Chicago Bulls",50,32,0.61,251,143,0.637
"2007","Phoenix Suns",55,27,0.671,261,149,0.637
"1988","Detroit Pistons",63,19,0.768,261,149,0.637
"2020","Toronto Raptors",27,45,0.375,248,142,0.636
"2015","Golden State Warriors",73,9,0.89,250,144,0.635
"2022","Denver Nuggets",53,29,0.646,248,143,0.634
"1992","Los Angeles Lakers",39,43,0.476,260,150,0.634
"2020","Milwaukee Bucks",46,26,0.639,248,143,0.634
"1992","Detroit Pistons",40,42,0.488,260,150,0.634
"1972","Boston Celtics",68,14,0.829,260,150,0.634
"2022","Philadelphia 76ers",54,28,0.659,248,143,0.634
"2019","Boston Celtics",48,24,0.667,253,147,0.633
"1997","New York Knicks",43,39,0.524,259,151,0.632
"2000","Portland Trail Blazers",50,32,0.61,239,139,0.632
"2011","Dallas Mavericks",36,30,0.545,249,145,0.632
"2001","Portland Trail Blazers",49,33,0.598,239,139,0.632
"1999","Indiana Pacers",56,26,0.683,238,140,0.63
"1996","Phoenix Suns",40,42,0.488,258,152,0.629
"1991","Boston Celtics",51,31,0.622,258,152,0.629
"2010","Boston Celtics",56,26,0.683,258,152,0.629
"2021","Philadelphia 76ers",51,31,0.622,246,145,0.629
"1987","Milwaukee Bucks",42,40,0.512,258,152,0.629
"2013","Miami Heat",54,28,0.659,248,146,0.629
"2020","Utah Jazz",52,20,0.722,245,145,0.628
"2021","Toronto Raptors",48,34,0.585,245,145,0.628
"1981","Phoenix Suns",46,36,0.561,257,153,0.627
"1980","Philadelphia 76ers",62,20,0.756,257,153,0.627
"2013","Dallas Mavericks",49,33,0.598,247,147,0.627
"1988","Milwaukee Bucks",49,33,0.598,257,153,0.627
"2014","Dallas Mavericks",50,32,0.61,247,147,0.627
"2013","Los Angeles Lakers",27,55,0.329,247,147,0.627
"1969","Philadelphia 76ers",42,40,0.512,254,152,0.626
"1954","Minneapolis Lakers",40,32,0.556,218,130,0.626
"1953","Syracuse Nationals",42,30,0.583,212,127,0.625
"1998","Orlando Magic",33,17,0.66,236,142,0.624
"2003","Minnesota Timberwolves",58,24,0.707,256,154,0.624
"2002","Utah Jazz",47,35,0.573,236,142,0.624
"2010","Phoenix Suns",40,42,0.488,256,154,0.624
"2021","Utah Jazz",49,33,0.598,243,147,0.623
"2011","Denver Nuggets",38,28,0.576,245,149,0.622
"1969","Boston Celtics",34,48,0.415,252,154,0.621
"2017","Oklahoma City Thunder",48,34,0.585,254,156,0.62
"1974","New York Knicks",40,42,0.488,254,156,0.62
"1994","Houston Rockets",47,35,0.573,254,156,0.62
"2004","Los Angeles Lakers",34,48,0.415,254,156,0.62
"1998","Indiana Pacers",33,17,0.66,234,144,0.619
"1998","San Antonio Spurs",37,13,0.74,234,144,0.619
"2022","Boston Celtics",57,25,0.695,241,149,0.618
"2020","Boston Celtics",36,36,0.5,241,149,0.618
"1982","Milwaukee Bucks",51,31,0.622,253,157,0.617
"2015","Miami Heat",48,34,0.585,243,151,0.617
"1996","Orlando Magic",45,37,0.549,253,157,0.617
"1997","Orlando Magic",41,41,0.5,253,157,0.617
"2008","Cleveland Cavaliers",66,16,0.805,253,157,0.617
"1990","Chicago Bulls",61,21,0.744,253,157,0.617
"2020","Golden State Warriors",39,33,0.542,236,147,0.616
"1999","Chicago Bulls",17,65,0.207,233,145,0.616
"1999","Portland Trail Blazers",59,23,0.72,233,145,0.616
"2021","Denver Nuggets",48,34,0.585,241,150,0.616
"1997","San Antonio Spurs",56,26,0.683,252,158,0.615
"1974","Los Angeles Lakers",30,52,0.366,252,158,0.615
"1997","Phoenix Suns",56,26,0.683,252,158,0.615
"1983","Phoenix Suns",41,41,0.5,252,158,0.615
"2010","Denver Nuggets",50,32,0.61,252,158,0.615
"1993","New York Knicks",57,25,0.695,252,158,0.615
"2014","Miami Heat",37,45,0.451,242,152,0.614
"2013","Chicago Bulls",48,34,0.585,242,152,0.614
"2000","Seattle SuperSonics",44,38,0.537,232,146,0.614
"2021","Boston Celtics",51,31,0.622,239,151,0.613
"1990","Utah Jazz",54,28,0.659,251,159,0.612
"1997","Houston Rockets",41,41,0.5,251,159,0.612
"1997","Atlanta Hawks",50,32,0.61,251,159,0.612
"1997","Los Angeles Lakers",61,21,0.744,251,159,0.612
"1977","Los Angeles Lakers",45,37,0.549,251,159,0.612
"1958","Boston Celtics",52,20,0.722,220,140,0.611
"1989","Atlanta Hawks",41,41,0.5,250,160,0.61
"2004","Minnesota Timberwolves",44,38,0.537,250,160,0.61
"1995","Houston Rockets",48,34,0.585,250,160,0.61
"2006","Phoenix Suns",61,21,0.744,250,160,0.61
"1968","Philadelphia 76ers",55,27,0.671,246,158,0.609
"2016","Houston Rockets",55,27,0.671,240,154,0.609
"2020","LA Clippers",47,25,0.653,237,153,0.608
"2019","Oklahoma City Thunder",44,28,0.611,243,157,0.608
"2001","Indiana Pacers",42,40,0.512,230,148,0.608
"1969","Los Angeles Lakers",46,36,0.561,247,159,0.608
"2019","LA Clippers",49,23,0.681,243,157,0.608
"1992","Boston Celtics",48,34,0.585,249,161,0.607
"1963","St. Louis Hawks",46,34,0.575,230,149,0.607
"1977","Chicago Bulls",40,42,0.488,249,161,0.607
"2003","Portland Trail Blazers",41,41,0.5,249,161,0.607
"1998","New York Knicks",27,23,0.54,229,149,0.606
"2002","Dallas Mavericks",60,22,0.732,229,149,0.606
"2003","Indiana Pacers",61,21,0.744,248,162,0.605
"1997","Indiana Pacers",58,24,0.707,248,162,0.605
"1993","Houston Rockets",58,24,0.707,248,162,0.605
"1995","Cleveland Cavaliers",47,35,0.573,248,162,0.605
"1974","Chicago Bulls",47,35,0.573,248,162,0.605
"1964","St. Louis Hawks",45,35,0.563,234,153,0.605
"1971","Boston Celtics",56,26,0.683,246,162,0.603
"1992","New York Knicks",60,22,0.732,247,163,0.602
"1993","Seattle SuperSonics",63,19,0.768,247,163,0.602
"1981","Boston Celtics",63,19,0.768,247,163,0.602
"2009","Utah Jazz",53,29,0.646,247,163,0.602
"1987","Detroit Pistons",54,28,0.659,247,163,0.602
"1968","Los Angeles Lakers",55,27,0.671,243,161,0.601
"2000","Phoenix Suns",51,31,0.622,227,151,0.601
"2000","Indiana Pacers",41,41,0.5,227,151,0.601
"2009","Denver Nuggets",53,29,0.646,246,164,0.6
"1967","Los Angeles Lakers",52,30,0.634,241,161,0.6
"2020","Houston Rockets",17,55,0.236,234,156,0.6
"1981","Milwaukee Bucks",55,27,0.671,246,164,0.6
"2009","Orlando Magic",59,23,0.72,246,164,0.6
"2001","Miami Heat",36,46,0.439,226,152,0.598
"2010","Utah Jazz",39,43,0.476,245,165,0.598
"1996","San Antonio Spurs",20,62,0.244,245,165,0.598
"1991","Phoenix Suns",53,29,0.646,245,165,0.598
"1987","Philadelphia 76ers",36,46,0.439,245,165,0.598
"1971","Philadelphia 76ers",30,52,0.366,244,164,0.598
"2010","Houston Rockets",43,39,0.524,245,165,0.598
"2008","Houston Rockets",53,29,0.646,245,165,0.598
"2000","Charlotte Hornets",46,36,0.561,226,152,0.598
"2018","Boston Celtics",49,33,0.598,245,165,0.598
"1978","Boston Celtics",29,53,0.354,245,165,0.598
"2014","Atlanta Hawks",60,22,0.732,235,159,0.596
"1953","New York Knicks",44,28,0.611,204,138,0.596
"2020","Denver Nuggets",47,25,0.653,233,158,0.596
"1998","Atlanta Hawks",31,19,0.62,225,153,0.595
"2018","Oklahoma City Thunder",49,33,0.598,244,166,0.595
"2000","New York Knicks",48,34,0.585,225,153,0.595
"1999","San Antonio Spurs",53,29,0.646,225,153,0.595
"2022","Utah Jazz",37,45,0.451,232,158,0.595
"2017","Cleveland Cavaliers",50,32,0.61,244,166,0.595
"1980","Boston Celtics",62,20,0.756,244,166,0.595
"1996","Atlanta Hawks",56,26,0.683,244,166,0.595
"2015","Memphis Grizzlies",42,40,0.512,234,160,0.594
"2013","Portland Trail Blazers",54,28,0.659,234,160,0.594
"2013","Oklahoma City Thunder",59,23,0.72,234,160,0.594
"2015","Dallas Mavericks",42,40,0.512,234,160,0.594
"1999","New York Knicks",50,32,0.61,224,154,0.593
"2008","Los Angeles Lakers",65,17,0.793,243,167,0.593
"2005","Los Angeles Lakers",45,37,0.549,243,167,0.593
"1998","Houston Rockets",31,19,0.62,224,154,0.593
"1990","Atlanta Hawks",43,39,0.524,243,167,0.593
"1988","Atlanta Hawks",52,30,0.634,243,167,0.593
"1995","Portland Trail Blazers",44,38,0.537,243,167,0.593
"1992","Cleveland Cavaliers",54,28,0.659,243,167,0.593
"1980","Phoenix Suns",57,25,0.695,243,167,0.593
"2002","Philadelphia 76ers",48,34,0.585,224,154,0.593
"2000","San Antonio Spurs",58,24,0.707,224,154,0.593
"1998","Miami Heat",33,17,0.66,223,155,0.59
"2009","Detroit Pistons",27,55,0.329,242,168,0.59
"2022","LA Clippers",44,38,0.537,230,160,0.59
"2008","Denver Nuggets",54,28,0.659,242,168,0.59
"1998","Phoenix Suns",27,23,0.54,223,155,0.59
"2002","Minnesota Timberwolves",51,31,0.622,223,155,0.59
"1982","San Antonio Spurs",53,29,0.646,242,168,0.59
"2001","Phoenix Suns",36,46,0.439,223,155,0.59
"1962","St. Louis Hawks",48,32,0.6,220,153,0.59
"1989","Milwaukee Bucks",44,38,0.537,242,168,0.59
"1982","Seattle SuperSonics",48,34,0.585,242,168,0.59
"2013","Boston Celtics",25,57,0.305,232,162,0.589
"2014","Memphis Grizzlies",55,27,0.671,232,162,0.589
"1955","Minneapolis Lakers",34,39,0.466,208,145,0.589
"1981","Seattle SuperSonics",52,30,0.634,241,169,0.588
"1954","Syracuse Nationals",43,29,0.597,204,143,0.588
"1955","Syracuse Nationals",36,37,0.493,208,146,0.588
"2003","Utah Jazz",42,40,0.512,241,169,0.588
"2006","Sacramento Kings",33,49,0.402,241,169,0.588
"1981","San Antonio Spurs",48,34,0.585,241,169,0.588
"2010","Cleveland Cavaliers",19,63,0.232,241,169,0.588
"1998","Charlotte Hornets",26,24,0.52,222,156,0.587
"2013","Denver Nuggets",36,46,0.439,231,163,0.586
"2016","Memphis Grizzlies",43,39,0.524,231,163,0.586
"2019","Milwaukee Bucks",56,17,0.767,235,166,0.586
"2014","Portland Trail Blazers",51,31,0.622,231,163,0.586
"2016","Chicago Bulls",41,41,0.5,231,163,0.586
"2021","LA Clippers",42,40,0.512,228,162,0.585
"1999","Charlotte Hornets",49,33,0.598,221,157,0.585
"1989","Portland Trail Blazers",59,23,0.72,240,170,0.585
"2004","Detroit Pistons",54,28,0.659,240,170,0.585
"2015","Atlanta Hawks",48,34,0.585,230,164,0.584
"2011","Utah Jazz",36,30,0.545,230,164,0.584
"2013","Orlando Magic",23,59,0.28,230,164,0.584
"1954","New York Knicks",38,34,0.528,202,144,0.584
"1987","Dallas Mavericks",53,29,0.646,239,171,0.583
"2005","New Jersey Nets",49,33,0.598,239,171,0.583
"1989","Utah Jazz",55,27,0.671,239,171,0.583
"1957","Boston Celtics",49,23,0.681,210,150,0.583
"1993","Boston Celtics",32,50,0.39,239,171,0.583
"1978","Milwaukee Bucks",38,44,0.463,239,171,0.583
"2017","Portland Trail Blazers",49,33,0.598,239,171,0.583
"1988","Philadelphia 76ers",46,36,0.561,239,171,0.583
"2019","Utah Jazz",44,28,0.611,233,167,0.583
"2002","Indiana Pacers",48,34,0.585,220,158,0.582
"1999","Orlando Magic",41,41,0.5,220,158,0.582
"2022","Toronto Raptors",41,41,0.5,227,163,0.582
