"MAKE","MODEL","COUNT(*)"
"Cadillac","XLR",26
"BMW","X6 M",26
"Chevrolet","Silverado 2500",25
"Audi","S6",25
"Volvo","XC",25
"Chevrolet","Malibu Hybrid",24
"Lincoln","Navigator L",23
"Tesla","Model S",23
"Suzuki","Aerio",23
"Mercury","Mariner Hybrid",23
"Volkswagen","Golf R",22
"Volkswagen","Jetta Hybrid",22
"Chrysler","LHS",22
"Mitsubishi","i-MiEV",21
"Volvo","V40",21
"Suzuki","Verona",21
"Mazda","Mazdaspeed 3",21
"Volvo","850",20
"GMC","envoy",20
"Infiniti","G37 Convertible",20
"Lexus","GS 400",20
"Honda","accord",20
"GMC","Suburban",20
"Toyota","Tercel",20
"GMC","Sierra 2500HD Classic",20
"Lincoln","MKC",20
"Audi","S8",19
"Isuzu","Axiom",19
"Ford","Transit Van",19
"Maserati","Ghibli",19
"Chrysler","Voyager",19
"Mazda","Mazdaspeed Mazda3",18
"Pontiac","G3",18
"Geo","Prizm",18
"Ford","Transit Wagon",17
"Aston Martin","V8 Vantage",17
"Lexus","IS 350 C",17
"Rolls-Royce","Ghost",17
"Acura","RLX",17
"Nissan","Truck",16
"Toyota","MR2 Spyder",16
"Kia","Sephia",16
"Lexus","SC 400",15
"Volkswagen","R32",15
"Porsche","Cayman S",15
"BMW","M6 Gran Coupe",15
"Mazda","RX-8",15
"Audi","RS 5",15
"Oldsmobile","Cutlass",14
"Honda","Prelude",14
"Mazda","Mazdaspeed Mazda6",14
"Cadillac","CTS Wagon",14
"BMW","ActiveHybrid 7",13
"Saturn","VUE Hybrid",13
"Chevrolet","SS",13
"Ferrari","California",13
"Pontiac","Aztek",13
"Maserati","GranTurismo Convertible",13
"Oldsmobile","Eighty-Eight",13
"Nissan","200SX",12
"Ford","Mustang SVT Cobra",12
"Ford","Contour",12
"Infiniti","G37 Coupe",12
"Audi","",12
"BMW","4 Series Gran Coupe",12
"Oldsmobile","Cutlass Supreme",11
"Land Rover","Discovery",11
"Chevrolet","Tahoe Limited/Z71",11
"Mercury","Villager",11
"Lincoln","MKZ Hybrid",11
"Mercedes-Benz","300-Class",11
"GMC","Savana",11
"Dodge","Viper",11
"Lexus","SC 300",11
"Honda","Accord Hybrid",10
"BMW","M4",10
"Volkswagen","Phaeton",10
"Saab","9-2X",10
"Chevrolet","Caprice",10
"Infiniti","M56",10
"GMC","Sierra 3500",10
"Oldsmobile","Cutlass Ciera",9
"Mazda","B-Series Pickup",9
"Lincoln","Mark VIII",9
"Plymouth","Prowler",9
"Acura","Legend",9
"Infiniti","QX50",9
"BMW","i8",9
"Fisker","Karma",9
"GMC","Yukon Denali",9
"Hyundai","XG300",9
"Isuzu","i-Series",9
"Volkswagen","Golf GTI",8
"Audi","RS 7",8
"Audi","RS 6",8
"Mazda","Truck",8
"Porsche","Macan",8
"Audi","S7",8
"Toyota","Pickup",7
"BMW","M",7
"Volvo","S90",7
"Volvo","960",7
"Volkswagen","EuroVan",7
"Audi","SQ5",7
"Lincoln","Blackwood",7
"Mercedes-Benz","500-Class",7
"Dodge","Ram Cargo",7
"Aston Martin","DB9",6
"GMC","Sierra 1500HD",6
"Infiniti","FX50",6
"Plymouth","Neon",6
"Suzuki","Vitara",6
"Lexus","RC 350",6
"Cadillac","STS-V",6
"Mazda","B-Series Truck",6
"Audi","TTS",6
"Lexus","GS 460",6
"Mercury","Milan Hybrid",6
"HUMMER","H3T",6
"Saturn","Aura Hybrid",5
